id,gold,burn_1,burn_2p,burn_2s,burn_3,burn_not
img47.jpg,1,1,0,0,0,0
img472.jpg,1,1,0,0,0,0
img48.jpg,0,1,0,0,0,0
img483.jpg,1,1,0,0,0,0
img485.jpg,1,1,0,0,0,0
img493.jpg,1,1,0,0,0,0
img50.jpg,1,1,0,0,0,0
img515.jpg,1,1,0,0,0,0
img532.jpg,1,1,0,0,0,0
img54.jpg,1,1,0,0,0,0
img540.jpg,0,1,0,0,0,0
img556.jpg,1,1,0,0,0,0
img557.jpg,1,1,0,0,0,0
img559.jpg,1,1,0,0,0,0
img564.jpg,1,1,0,0,0,0
img565.jpg,1,1,0,0,0,0
img570.jpg,1,1,0,0,0,0
img58.jpg,1,1,0,0,0,0
img581.jpg,1,1,0,0,0,0
img582.jpg,1,1,0,0,0,0
img583.jpg,1,1,0,0,0,0
img586.jpg,1,1,0,0,0,0
img59.jpg,1,1,0,0,0,0
img594.jpg,0,1,0,0,0,0
img597.jpg,1,1,0,0,0,0
img601.jpg,1,1,0,0,0,0
img610.jpg,1,1,0,0,0,0
img611.jpg,1,1,0,0,0,0
img630.jpg,1,1,0,0,0,0
img635.jpg,1,1,0,0,0,0
img646.jpg,0,1,0,0,0,0
img650.jpg,0,1,0,0,0,0
img664.jpg,0,1,0,0,0,0
img669.jpg,0,1,0,0,0,0
img671.jpg,0,1,0,0,0,0
img688.jpg,1,1,0,0,0,0
img694.jpg,1,1,0,0,0,0
img699.jpg,1,1,0,0,0,0
img7.jpg,1,1,0,0,0,0
img70.jpg,1,1,0,0,0,0
img702.jpg,1,1,0,0,0,0
img711.jpg,0,1,0,0,0,0
img724.jpg,0,1,0,0,0,0
img737.jpg,1,1,0,0,0,0
img741.jpg,0,1,0,0,0,0
img745.jpg,0,1,0,0,0,0
img747.jpg,1,1,0,0,0,0
img748.jpg,1,1,0,0,0,0
img754.jpg,0,1,0,0,0,0
img760.jpg,0,1,0,0,0,0
img773.jpg,1,1,0,0,0,0
img774.jpg,0,1,0,0,0,0
img796.jpg,1,1,0,0,0,0
img798.jpg,0,1,0,0,0,0
img809.jpg,0,1,0,0,0,0
img810.jpg,1,1,0,0,0,0
img811.jpg,1,1,0,0,0,0
img817.jpg,0,1,0,0,0,0
img831.jpg,1,1,0,0,0,0
img842.jpg,1,1,0,0,0,0
img847.jpg,1,1,0,0,0,0
img852.jpg,1,1,0,0,0,0
img875.jpg,1,1,0,0,0,0
img876.jpg,1,1,0,0,0,0
img879.jpg,1,1,0,0,0,0
img881.jpg,1,1,0,0,0,0
img884.jpg,1,1,0,0,0,0
img885.jpg,1,1,0,0,0,0
img888.jpg,0,1,0,0,0,0
img893.jpg,1,1,0,0,0,0
img899.jpg,0,1,0,0,0,0
img90.jpg,1,1,0,0,0,0
img902.jpg,1,1,0,0,0,0
img916.jpg,0,1,0,0,0,0
img919.jpg,1,1,0,0,0,0
img92.jpg,1,1,0,0,0,0
img925.jpg,1,1,0,0,0,0
img931.jpg,1,1,0,0,0,0
img938.jpg,0,1,0,0,0,0
img949.jpg,1,1,0,0,0,0
img952.jpg,1,1,0,0,0,0
img954.jpg,0,1,0,0,0,0
img958.jpg,1,1,0,0,0,0
img960.jpg,1,1,0,0,0,0
img962.jpg,1,1,0,0,0,0
img968.jpg,0,1,0,0,0,0
img969.jpg,1,1,0,0,0,0
img972.jpg,1,1,0,0,0,0
img98.jpg,1,1,0,0,0,0
img980.jpg,0,1,0,0,0,0
img985.jpg,0,1,0,0,0,0
img987.jpg,1,1,0,0,0,0
img996.jpg,1,1,0,0,0,0
img3412.jpg,0,0,1,0,0,0
img3413.jpg,0,0,1,0,0,0
img3416.jpg,0,0,1,0,0,0
img3417.jpg,0,0,1,0,0,0
img3429.jpg,0,0,1,0,0,0
img3431.jpg,0,0,1,0,0,0
img3453.jpg,0,0,1,0,0,0
img3454.jpg,0,0,1,0,0,0
img3457.jpg,0,0,1,0,0,0
img3458.jpg,0,0,1,0,0,0
img3463.jpg,0,0,1,0,0,0
img3464.jpg,0,0,1,0,0,0
img3465.jpg,1,0,1,0,0,0
img3468.jpg,0,0,1,0,0,0
img3469.jpg,0,0,1,0,0,0
img347.jpg,0,0,1,0,0,0
img371.jpg,1,0,1,0,0,0
img380.jpg,0,0,1,0,0,0
img383.jpg,1,0,1,0,0,0
img387.jpg,1,0,1,0,0,0
img3965.jpg,1,0,1,0,0,0
img3966.jpg,1,0,1,0,0,0
img3968.jpg,0,0,1,0,0,0
img3969.jpg,0,0,1,0,0,0
img3970.jpg,0,0,1,0,0,0
img3981.jpg,0,0,1,0,0,0
img3982.jpg,0,0,1,0,0,0
img3997.jpg,1,0,1,0,0,0
img403.jpg,1,0,1,0,0,0
img407.jpg,1,0,1,0,0,0
img413.jpg,1,0,1,0,0,0
img443.jpg,1,0,1,0,0,0
img45.jpg,1,0,1,0,0,0
img514.jpg,1,0,1,0,0,0
img518.jpg,0,0,1,0,0,0
img519.jpg,0,0,1,0,0,0
img525.jpg,1,0,1,0,0,0
img575.jpg,1,0,1,0,0,0
img584.jpg,0,0,1,0,0,0
img588.jpg,1,0,1,0,0,0
img596.jpg,0,0,1,0,0,0
img602.jpg,0,0,1,0,0,0
img656.jpg,0,0,1,0,0,0
img674.jpg,0,0,1,0,0,0
img677.jpg,0,0,1,0,0,0
img687.jpg,1,0,1,0,0,0
img689.jpg,0,0,1,0,0,0
img698.jpg,1,0,1,0,0,0
img710.jpg,0,0,1,0,0,0
img712.jpg,0,0,1,0,0,0
img716.jpg,1,0,1,0,0,0
img727.jpg,1,0,1,0,0,0
img730.jpg,0,0,1,0,0,0
img757.jpg,1,0,1,0,0,0
img77.jpg,1,0,1,0,0,0
img778.jpg,1,0,1,0,0,0
img784.jpg,1,0,1,0,0,0
img786.jpg,1,0,1,0,0,0
img836.jpg,0,0,1,0,0,0
img844.jpg,1,0,1,0,0,0
img846.jpg,0,0,1,0,0,0
img868.jpg,0,0,1,0,0,0
img909.jpg,1,0,1,0,0,0
img928.jpg,1,0,1,0,0,0
img937.jpg,0,0,1,0,0,0
img940.jpg,1,0,1,0,0,0
img948.jpg,0,0,1,0,0,0
img963.jpg,1,0,1,0,0,0
img975.jpg,1,0,1,0,0,0
img992.jpg,0,0,1,0,0,0
img3451.jpg,0,0,0,1,0,0
img3452.jpg,0,0,0,1,0,0
img3456.jpg,0,0,0,1,0,0
img3459.jpg,0,0,0,1,0,0
img3460.jpg,0,0,0,1,0,0
img3466.jpg,0,0,0,1,0,0
img3467.jpg,0,0,0,1,0,0
img349.jpg,1,0,0,1,0,0
img350.jpg,1,0,0,1,0,0
img353.jpg,1,0,0,1,0,0
img358.jpg,1,0,0,1,0,0
img364.jpg,1,0,0,1,0,0
img367.jpg,1,0,0,1,0,0
img369.jpg,1,0,0,1,0,0
img37.jpg,1,0,0,1,0,0
img375.jpg,1,0,0,1,0,0
img376.jpg,1,0,0,1,0,0
img385.jpg,1,0,0,1,0,0
img386.jpg,1,0,0,1,0,0
img392.jpg,1,0,0,1,0,0
img3952.jpg,1,0,0,1,0,0
img3962.jpg,1,0,0,1,0,0
img3963.jpg,1,0,0,1,0,0
img397.jpg,0,0,0,1,0,0
img399.jpg,1,0,0,1,0,0
img3992.jpg,0,0,0,1,0,0
img3993.jpg,0,0,0,1,0,0
img3996.jpg,1,0,0,1,0,0
img405.jpg,1,0,0,1,0,0
img406.jpg,1,0,0,1,0,0
img41.jpg,0,0,0,1,0,0
img420.jpg,1,0,0,1,0,0
img422.jpg,1,0,0,1,0,0
img425.jpg,1,0,0,1,0,0
img426.jpg,1,0,0,1,0,0
img431.jpg,1,0,0,1,0,0
img438.jpg,1,0,0,1,0,0
img440.jpg,1,0,0,1,0,0
img441.jpg,1,0,0,1,0,0
img442.jpg,0,0,0,1,0,0
img444.jpg,1,0,0,1,0,0
img454.jpg,1,0,0,1,0,0
img461.jpg,1,0,0,1,0,0
img462.jpg,1,0,0,1,0,0
img463.jpg,1,0,0,1,0,0
img466.jpg,1,0,0,1,0,0
img470.jpg,1,0,0,1,0,0
img473.jpg,0,0,0,1,0,0
img474.jpg,1,0,0,1,0,0
img481.jpg,1,0,0,1,0,0
img484.jpg,1,0,0,1,0,0
img489.jpg,1,0,0,1,0,0
img495.jpg,0,0,0,1,0,0
img496.jpg,1,0,0,1,0,0
img500.jpg,0,0,0,1,0,0
img503.jpg,1,0,0,1,0,0
img506.jpg,1,0,0,1,0,0
img509.jpg,1,0,0,1,0,0
img511.jpg,0,0,0,1,0,0
